# x_values y_values
65.170 0.958
67.640 0.953
70.180 0.939
70.110 0.949
72.640 0.909
72.580 0.934
75.180 0.874
75.250 0.903
77.640 0.832
77.650 0.860
80.180 0.783
80.180 0.798
82.640 0.725
82.640 0.726
85.100 0.668
85.100 0.656
87.640 0.606
87.630 0.577
90.100 0.542
90.160 0.497
90.260 0.480
92.620 0.416
95.090 0.416
95.080 0.337
97.560 0.353
97.550 0.262
100.160 0.293
100.010 0.186
102.550 0.233
102.540 0.122
105.010 0.176
105.000 0.069
107.550 0.125
107.540 0.025
110.010 0.075
110.070 0.005
112.610 0.039
112.540 -0.001
115.080 0.014
115.150 -0.001
117.620 0.006
117.620 -0.002
119.950 0.005
119.950 -0.002
125.000 0.000
125.000 0.000
130.000 0.000
130.000 0.000
135.000 0.000
135.000 0.000
140.000 0.000
140.000 0.000
150.000 0.000
150.000 0.000
160.000 0.000
160.000 0.000
